2022-04-24 09:07:21 INFO  [http-nio-8080-exec-7] : [spazio    ] 
2022-04-24 09:07:21 INFO  [http-nio-8080-exec-7] : [wizard    ] - Aggiornato il progetto esistente: 'wiki' 
2022-04-24 09:07:21 INFO  [http-nio-8080-exec-7] : [wizard    ] - Update: la directory 'config' esisteva già ma è stata integrata. (dirAddingOnly) 
2022-04-24 09:07:21 INFO  [http-nio-8080-exec-7] : [wizard    ] - Update: la directory 'doc' esisteva già ma è stata integrata. (dirAddingOnly) 
2022-04-24 09:07:21 INFO  [http-nio-8080-exec-7] : [wizard    ] - Update: la directory 'frontend' esisteva già ma è stata integrata. (dirAddingOnly) 
2022-04-24 09:07:21 INFO  [http-nio-8080-exec-7] : [wizard    ] - Update: la directory 'links' esisteva già ma è stata integrata. (dirAddingOnly) 
2022-04-24 09:07:21 INFO  [http-nio-8080-exec-7] : [wizard    ] - Update: la directory 'snippets' esisteva già ma è stata integrata. (dirAddingOnly) 
2022-04-24 09:07:21 INFO  [http-nio-8080-exec-7] : [wizard    ] - Update: il file 'WikiPref.java' esisteva già ma è stato modificato (sourceSovrascriveSempreAncheSeEsiste) 
2022-04-24 09:07:21 WARN  [http-nio-8080-exec-7] : [file      ] - La directory /Users/gac/Documents/IdeaProjects/operativi/wiki/src/main/java/it/algos/vaad23/wizard/sources non esiste [class=FileService         ] [method=deleteDirectoryStr  ] [line=811 ]  
2022-04-24 09:07:21 WARN  [http-nio-8080-exec-7] : [wizard    ] - Non sono riuscito a cancellare la directory 'sources' dal progetto wiki 
2022-04-24 09:09:08 INFO  [http-nio-8080-exec-10] : [spazio    ] 
2022-04-24 09:09:08 INFO  [http-nio-8080-exec-10] : [wizard    ] - Aggiornato il progetto esistente: 'wiki' 
2022-04-24 09:09:08 INFO  [http-nio-8080-exec-10] : [wizard    ] - Update: la directory 'config' esisteva già ma è stata integrata. (dirAddingOnly) 
2022-04-24 09:09:08 INFO  [http-nio-8080-exec-10] : [wizard    ] - Update: la directory 'doc' esisteva già ma è stata integrata. (dirAddingOnly) 
2022-04-24 09:09:08 INFO  [http-nio-8080-exec-10] : [wizard    ] - Update: la directory 'frontend' esisteva già ma è stata integrata. (dirAddingOnly) 
2022-04-24 09:09:08 INFO  [http-nio-8080-exec-10] : [wizard    ] - Update: la directory 'links' esisteva già ma è stata integrata. (dirAddingOnly) 
2022-04-24 09:09:08 INFO  [http-nio-8080-exec-10] : [wizard    ] - Update: la directory 'snippets' esisteva già ma è stata integrata. (dirAddingOnly) 
2022-04-24 09:09:08 INFO  [http-nio-8080-exec-10] : [wizard    ] - Update: la directory 'vaad23' esisteva già ma è stata sostituita. (dirDeletingAll) 
2022-04-24 09:09:08 INFO  [http-nio-8080-exec-10] : [wizard    ] - Update: il file 'WikiPref.java' esisteva già ma è stato modificato (sourceSovrascriveSempreAncheSeEsiste) 
